Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
"18-May-2024","EQ","13.35","13.40","13.20","13.25","13.25","13.30","13.33","18.40","6.85","5,68,24,162","75,73,02,920.10","35,644"
"17-May-2024","EQ","13.15","13.65","13.05","13.15","13.25","13.25","13.35","18.40","6.85","63,07,32,734","8,42,24,50,608.50","1,60,572"
"16-May-2024","EQ","13.25","13.40","12.95","13.20","13.10","13.15","13.23","18.40","6.85","45,59,41,660","6,03,33,82,864.00","1,37,010"
"15-May-2024","EQ","13.35","13.40","13.10","13.25","13.10","13.20","13.22","18.40","6.85","39,94,12,030","5,27,96,32,517.25","1,26,703"
"14-May-2024","EQ","12.70","13.30","12.65","12.60","13.25","13.25","13.06","18.40","6.85","74,50,58,401","9,73,13,57,437.10","1,61,059"
"13-May-2024","EQ","12.60","12.70","12.30","12.70","12.65","12.60","12.51","18.40","6.85","35,73,47,341","4,47,04,00,738.80","1,33,547"
"10-May-2024","EQ","12.70","12.80","12.45","12.65","12.75","12.70","12.62","18.40","6.55","37,54,78,451","4,73,86,27,756.90","1,17,604"
"09-May-2024","EQ","12.75","13.00","12.60","12.70","12.70","12.65","12.74","18.40","6.55","64,38,89,725","8,20,23,28,121.65","1,85,648"
"08-May-2024","EQ","12.45","12.85","12.35","12.40","12.75","12.70","12.63","18.40","6.55","63,74,28,822","8,04,85,99,747.05","2,39,605"
"07-May-2024","EQ","12.85","12.90","12.10","12.80","12.40","12.40","12.42","18.40","6.55","1,29,73,64,839","16,11,69,43,125.80","3,03,796"
"06-May-2024","EQ","13.25","13.30","12.75","13.20","12.80","12.80","12.96","18.40","6.55","68,86,84,063","8,92,80,57,061.05","2,86,949"
"03-May-2024","EQ","13.30","13.50","13.00","13.20","13.15","13.20","13.25","18.40","6.55","84,41,84,176","11,18,49,21,496.15","3,00,263"
"02-May-2024","EQ","13.25","13.50","13.10","13.20","13.20","13.20","13.30","18.40","6.55","80,85,43,713","10,75,17,56,503.75","2,40,545"
"30-Apr-2024","EQ","13.50","13.55","13.15","13.45","13.20","13.20","13.38","18.40","6.55","95,49,53,718","12,77,35,46,331.50","2,50,946"
"29-Apr-2024","EQ","14.00","14.30","13.40","14.00","13.50","13.45","13.82","18.40","6.55","1,32,83,24,606","18,36,12,79,192.20","3,55,929"
"26-Apr-2024","EQ","13.65","14.20","12.70","13.90","13.85","14.00","13.31","18.40","6.25","3,86,71,33,280","51,46,55,11,170.10","4,34,734"
"25-Apr-2024","EQ","11.80","14.40","11.80","13.10","13.80","13.90","13.11","18.40","6.25","8,45,32,66,674","1,10,79,26,49,516.10","11,90,150"
"24-Apr-2024","EQ","13.75","13.95","13.00","14.40","13.10","13.10","13.46","18.40","6.25","1,63,46,06,447","22,00,26,06,268.10","3,97,561"
"23-Apr-2024","EQ","13.00","14.75","12.95","12.90","14.35","14.40","13.97","18.40","6.25","2,71,53,91,639","37,92,30,71,282.40","5,32,274"
"22-Apr-2024","EQ","12.40","13.05","12.10","12.90","12.90","12.90","12.53","18.40","6.25","1,68,20,40,033","21,07,28,96,229.60","2,83,633"
"19-Apr-2024","EQ","12.90","13.30","12.85","13.20","12.85","12.90","13.08","18.40","6.00","72,15,86,766","9,43,89,92,594.90","1,54,332"
"18-Apr-2024","EQ","13.10","13.55","13.10","12.95","13.20","13.20","13.32","18.40","6.00","79,18,68,513","10,54,98,11,864.10","2,27,092"
"16-Apr-2024","EQ","12.85","13.20","12.55","13.15","12.90","12.95","12.86","18.40","6.00","1,21,85,35,579","15,67,39,74,921.85","1,94,767"
"15-Apr-2024","EQ","13.00","13.40","12.75","12.95","13.10","13.15","13.14","18.40","6.00","77,65,97,931","10,20,76,91,818.60","2,32,861"
"12-Apr-2024","EQ","12.65","13.25","12.20","12.95","13.15","12.95","12.65","18.40","6.00","1,13,39,32,113","14,34,77,55,761.45","2,87,705"
"10-Apr-2024","EQ","12.80","13.20","12.65","12.90","12.90","12.95","12.86","18.40","6.00","51,23,12,743","6,59,01,48,205.55","1,35,163"
"09-Apr-2024","EQ","13.20","13.35","12.85","13.15","12.90","12.90","13.06","18.40","6.00","36,41,08,806","4,75,41,14,666.15","1,37,426"
"08-Apr-2024","EQ","13.90","13.90","12.90","13.30","13.15","13.15","13.16","18.40","6.00","77,04,38,882","10,14,24,66,520.55","2,15,753"
"05-Apr-2024","EQ","13.35","13.55","12.95","13.35","13.35","13.30","13.22","18.40","5.80","69,03,76,450","9,12,43,77,885.15","1,73,442"
"04-Apr-2024","EQ","14.00","14.10","13.05","13.55","13.35","13.35","13.49","18.40","5.80","92,18,11,399","12,43,21,67,803.00","2,06,136"
"03-Apr-2024","EQ","13.20","14.00","13.15","13.45","13.60","13.55","13.60","18.40","5.80","49,65,12,224","6,75,14,76,284.70","1,89,049"
"02-Apr-2024","EQ","13.95","14.15","13.35","14.00","13.45","13.45","13.67","18.40","5.80","37,26,70,017","5,09,45,71,985.35","1,44,939"
"01-Apr-2024","EQ","13.35","14.25","13.15","13.25","13.90","14.00","13.81","18.40","5.80","46,97,24,659","6,48,89,53,742.10","1,41,830"
"28-Mar-2024","EQ","13.30","13.55","13.15","13.30","13.30","13.25","13.38","18.40","5.70","26,17,97,107","3,50,27,31,067.55","1,40,406"
"27-Mar-2024","EQ","13.30","13.60","13.25","13.30","13.30","13.30","13.45","18.40","5.70","24,41,47,174","3,28,29,22,472.80","1,56,103"
"26-Mar-2024","EQ","13.40","13.50","13.15","13.30","13.30","13.30","13.31","18.40","5.70","27,77,30,489","3,69,78,54,767.55","1,65,052"
