Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
"22-Oct-2024","EQ","8.52","8.73","8.36","8.50","8.39","8.40","8.54","19.18","8.36","44,56,13,876","3,80,48,53,011.80","2,59,143"
"21-Oct-2024","EQ","9.09","9.10","8.42","9.02","8.52","8.50","8.70","19.18","8.42","48,43,98,463","4,21,29,36,195.37","2,76,773"
"18-Oct-2024","EQ","9.05","9.10","8.86","9.05","9.05","9.02","9.01","19.18","8.86","27,31,23,417","2,46,13,97,231.57","1,60,446"
"17-Oct-2024","EQ","9.31","9.39","9.03","9.29","9.05","9.05","9.17","19.18","8.90","32,78,47,932","3,00,66,86,077.88","1,87,323"
"16-Oct-2024","EQ","9.15","9.49","9.11","9.12","9.24","9.29","9.30","19.18","8.90","32,91,80,888","3,06,23,84,728.32","1,87,469"
"15-Oct-2024","EQ","9.11","9.42","9.00","9.09","9.16","9.12","9.15","19.18","8.90","30,72,49,022","2,80,98,38,987.01","1,58,227"
"14-Oct-2024","EQ","9.23","9.23","9.02","9.18","9.10","9.09","9.10","19.18","8.90","29,57,68,306","2,69,05,26,708.61","1,73,725"
"11-Oct-2024","EQ","9.27","9.28","9.08","9.31","9.22","9.18","9.16","19.18","8.90","26,39,57,905","2,41,85,60,827.06","1,58,439"
"10-Oct-2024","EQ","9.21","9.44","9.19","9.19","9.30","9.31","9.29","19.18","8.90","27,44,31,844","2,55,01,50,274.25","1,31,984"
"09-Oct-2024","EQ","9.54","9.58","9.16","9.50","9.23","9.19","9.31","19.18","8.90","28,62,31,290","2,66,35,45,774.17","1,70,650"
"08-Oct-2024","EQ","9.05","9.55","9.03","9.16","9.50","9.50","9.41","19.18","8.90","44,75,00,823","4,21,07,15,389.29","2,18,814"
"07-Oct-2024","EQ","9.79","9.81","8.90","9.79","9.15","9.16","9.20","19.18","8.90","69,93,75,979","6,43,62,43,161.84","3,55,651"
"04-Oct-2024","EQ","9.87","10.06","9.63","9.87","9.83","9.79","9.87","19.18","9.63","45,30,13,199","4,47,31,27,984.38","2,39,036"
"03-Oct-2024","EQ","10.13","10.16","9.81","10.17","9.87","9.87","9.96","19.18","9.79","41,84,26,001","4,16,78,93,387.67","2,77,865"
"01-Oct-2024","EQ","10.35","10.53","10.06","10.36","10.19","10.17","10.33","19.18","9.79","37,27,35,715","3,84,98,55,496.57","1,79,562"
"30-Sep-2024","EQ","10.65","10.68","10.32","10.66","10.37","10.36","10.43","19.18","9.79","46,97,80,209","4,90,08,22,948.76","2,03,680"
"27-Sep-2024","EQ","10.64","10.97","10.50","10.38","10.66","10.66","10.75","19.18","9.79","1,12,27,26,175","12,06,79,70,098.73","3,01,201"
"26-Sep-2024","EQ","10.39","10.50","10.12","10.36","10.44","10.38","10.30","19.18","9.79","94,72,25,586","9,75,24,42,472.72","2,80,131"
"25-Sep-2024","EQ","10.69","10.73","10.33","10.67","10.36","10.36","10.43","19.18","9.79","38,62,80,914","4,03,00,81,728.41","2,36,407"
"24-Sep-2024","EQ","10.82","10.99","10.52","10.82","10.67","10.67","10.72","19.18","9.79","59,11,15,783","6,33,42,18,885.04","3,29,333"
"23-Sep-2024","EQ","11.27","11.94","10.72","10.47","10.86","10.82","11.16","19.18","9.79","1,68,24,75,399","18,77,78,70,774.98","6,58,402"
